X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.8114785987507,35.7561310853959,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2091445/0/60/45/d4ab2892b1ea52aeba55d6ac242522cc/2/8aaf30042e8a9d8f2c2e90f8b92962a1/2091445.JPG,2091445,CLOSED,005/B,135 Charter Court,Colonial Townes,1316.0,1994,2,2,1,Attached,"$138,000","$141,000",0-.25 Acres,5,0.0,0.9845,"$131,532.00",No,1,0,3,3,11/3/2016,1.02,NA,Cary,NC,place
-78.8152076329925,35.7569836709293,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082127/0/60/45/3985a92eb6a10c0ec964b896b125c08d/2/9af3ed902301b9b4dc3c5c7288fc9245/2082127.JPG,2082127,CLOSED,005/B,514 Applecross Drive,Applecross,1170.0,1983,2,2,0,Attached,"$148,940","$142,000",0-.25 Acres,5,0.0,1.009,"$112,085.00",No,1,0,133,133,1/18/2017,0.95,NA,Cary,NC,place
-78.7634558316627,35.7603218326973,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083198/0/60/45/074c39a12e5e50550d3b0fcc5a49afa9/2/51dec22140331b5cdf9772109d71ed9a/2083198.JPG,2083198,CLOSED,005/G,120 Bay Drive,The Coves,1490.0,1979,3,2,1,Attached,"$154,900","$142,500",0-.25 Acres,6,0.0,0.9505,"$131,508.00",No,0,0,6,6,11/9/2016,0.92,NA,Cary,NC,place
-78.7975894854261,35.7774657495599,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2086338/0/60/45/1a5cefd4fbc5f7301a6f3333a0813a34/2/b418ced249bf7076e0c9f4bd64110f6e/2086338.JPG,2086338,CLOSED,005/C,209 Danforth Drive,Waterford Place,1231.0,1985,2,2,1,Attached,"$145,000","$143,500",0-.25 Acres,8,0.0,0.95,"$129,891.00",No,1,0,5,5,10/17/2016,0.99,NA,Cary,NC,place
-78.8223474,35.7775613,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084710/0/60/45/a580951f6fd5aaa8c3c55d5d25df9bbe/2/cf98b88a839114c80e6375408b23d796/2084710.JPG,2084710,CLOSED,005/C,131 LUXON Place,Oxxford Hunt,1438.0,1986,3,2,0,Attached,"$142,000","$144,000",0-.25 Acres,5,0.0,0.9505,"$128,382.00",No,1,0,4,4,10/7/2016,1.01,NA,Cary,NC,highway
-78.7628998438289,35.7512033736889,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2110423/0/60/45/0943bcebd510be34389ec2d9360eb3d9/2/f740ce6bd9385620c52b2b8c6e2cc64e/2110423.JPG,2110423,CLOSED,005/H,821 Renshaw Court,Wellington Ridge,1170.0,1995,2,2,0,Condo,"$139,900","$144,000",0-.25 Acres,5,0.0,0.9505,"$119,605.00",No,1,0,2,2,3/8/2017,1.03,NA,Cary,NC,place
-78.798075004083,35.7764768039318,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2087523/0/60/45/ff4e0f5a38b092ea407cbbe046561a4e/2/6afe15c4433a6ada0dc6b39257538e58/2087523.JPG,2087523,CLOSED,005/C,125 Danforth Drive,Waterford Place,1224.0,1985,2,2,1,Attached,"$149,500","$144,900",0-.25 Acres,5,0.0,0.9505,"$132,342.00",No,1,0,29,29,12/5/2016,0.97,NA,Cary,NC,place
-78.811807853905,35.7564358989033,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2102329/0/60/45/38f813ea5f970526784d5ed96c6ccf28/2/6f7b674d7b27c4b7ff1b057ec6ad5016/2102329.JPG,2102329,CLOSED,005/B,202 Colonial Townes Court,Colonial Townes,1110.0,1986,2,2,1,Attached,"$142,500","$145,000",0-.25 Acres,5,0.0,0.9845,"$112,112.00",No,1,0,0,0,1/27/2017,1.02,NA,Cary,NC,place
-78.8040938129837,35.7757114906307,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2093407/0/60/45/981a1380498ee20a99b26add367c9113/2/66c10274a89ff2d59826188365793d07/2093407.JPG,2093407,CLOSED,005/C,113 Candace Place,Carystone,1399.0,1997,3,2,0,Attached,"$142,000","$145,000",0-.25 Acres,5,0.0,0.95,"$138,000.00",No,1,0,3,3,10/31/2016,1.02,NA,Cary,NC,place
-78.77781575,35.8210725625,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2089058/0/60/45/a421bed30f7f8559281efd9df40c60fc/2/d78ea9ed1157d1087cb581b79b0e121a/2089058.JPG,2089058,CLOSED,005/D,312 Silverberry Court,Windchase at Beechtree,1349.0,1991,2,2,1,Attached,"$159,000","$147,000",0-.25 Acres,5,0.0,0.986,"$144,559.00",No,1,0,26,26,11/23/2016,0.92,NA,Cary,NC,place
-78.7986803739759,35.7771594232128,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2089532/0/60/45/2b5fd5dedad95b9106196898075446d4/2/fa8c39f6aac18ef42a85c1e2d9fa29a4/2089532.JPG,2089532,CLOSED,005/C,118 Milford Court,Waterford Place,1225.0,1985,2,2,1,Attached,"$146,000","$147,000",0-.25 Acres,5,0.0,0.95,"$128,167.00",No,1,0,55,55,12/22/2016,1.01,NA,Cary,NC,place
-78.7842170014104,35.7943265867885,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100645/0/60/45/617d8205a3b1412761f6a1b9e01eab6b/2/59d088f433c2ad0fc235b3bba145e9e8/2100645.JPG,2100645,CLOSED,005/D,215 W Boundary Street,Not in a Subdivision,1102.0,1961,3,1,0,Detached,"$162,500","$147,500",.26-.5 Acres,6,62.0,0.98,"$145,861.00",No,0,0,5,5,12/19/2016,0.91,NA,Cary,NC,place
-78.8037504285714,35.7758420612245,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2091233/0/60/45/7deba62501dbac5bbac3166ab8e70c4c/2/e29fd10f7513f7cf7a7742c00ad7e868/2091233.JPG,2091233,CLOSED,005/C,202 Candace Place,Carystone,1480.0,1998,3,2,1,Attached,"$154,900","$148,000",0-.25 Acres,6,0.0,0.95,"$146,161.00",No,1,0,2,2,11/1/2016,0.96,NA,Cary,NC,place
-78.7900069591837,35.7919942040816,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2105351/0/60/45/15e8985373aa273088b4bd4833ea55cd/2/99ae5aaec29bf17480a537e5e1141f03/2105351.JPG,2105351,CLOSED,005/C,110 Candytuff Court,Taylors Pond,1207.0,1984,2,1,1,Attached,"$149,000","$149,000",0-.25 Acres,5,0.0,0.9505,"$119,958.00",No,1,0,0,0,2/10/2017,1.0,NA,Cary,NC,place
-78.7792583940687,35.8124642230347,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2088783/0/60/45/39c1112bff989e6471ebdd7d627fcc73/2/f653f5fae6e0259406e076235cf502cb/2088783.JPG,2088783,CLOSED,005/D,103 N Mclean Court,Cambridge Forest,1200.0,1986,2,2,0,Attached,"$152,000","$149,000",0-.25 Acres,7,0.0,0.9505,"$131,925.00",No,1,0,8,8,10/24/2016,0.98,NA,Cary,NC,place
-78.7980858245218,35.7764529055525,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2091333/0/60/45/75245ef4701b3bcddf775a271fe2cf76/2/0e04787529e5e39634e1c9fb42900244/2091333.JPG,2091333,CLOSED,005/C,123 Danforth Drive,Waterford Place,1242.0,1985,2,2,1,Attached,"$153,900","$150,000",0-.25 Acres,7,0.0,0.95,"$128,142.00",No,1,0,5,5,11/10/2016,0.97,NA,Cary,NC,place
-78.8134082819836,35.7573233185378,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2081642/0/60/45/ea90601721b7d2ad65a4e4c49c397c72/2/d6d95eaa5d67f8fed19b83c2fa91b465/2081642.JPG,2081642,CLOSED,005/B,107 Inverness Court,Applecross,1757.0,1984,3,3,1,Attached,"$145,000","$150,250",0-.25 Acres,5,0.0,0.95,"$138,533.00",No,1,0,2,2,9/14/2016,1.04,NA,Cary,NC,place
-78.8040901472636,35.7757189561828,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100740/0/60/45/8527346a8bf87bd902fc6846d24e54f8/2/f1d5e98c29ea574e377cf46a865c306d/2100740.JPG,2100740,CLOSED,005/C,117 Candace Place,Carystone,1293.0,1998,2,2,1,Attached,"$152,900","$153,000",0-.25 Acres,5,30.0,0.95,"$140,398.00",No,1,0,7,7,1/12/2017,1.0,NA,Cary,NC,place
-78.788085,35.793208,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094103/0/60/45/8debccbf96b97b3ffe53aa8fe0365551/2/ef0fc1ce3c72fd4fe0d71d5c8e9575df/2094103.JPG,2094103,CLOSED,005/D,122 Star Thistle Lane,Summer Ridge Townhomes,1368.0,2004,2,2,1,Attached,"$160,000","$155,000",0-.25 Acres,5,0.0,0.9845,"$142,723.00",No,0,0,9,9,11/30/2016,0.97,NA,Cary,NC,place
-78.7918360952381,35.7650773333333,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2098127/0/60/45/c103edd84c9b2054eacf16d062c45cf5/2/a23d0362f948218b6f4cb6b22491b97d/2098127.JPG,2098127,CLOSED,005/B,217 Virens Drive,Ivy Creek,1436.0,1998,2,2,1,Attached,"$154,900","$155,000",0-.25 Acres,4,0.0,0.95,"$137,010.00",No,1,0,4,4,1/17/2017,1.0,NA,Cary,NC,place
-78.7934511107992,35.7950668771289,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2080441/0/60/45/0a27e29bc0458ec2a959d79b67c29f12/2/0b99fc6fa168cbcd00d4877e82944db5/2080441.JPG,2080441,CLOSED,005/C,232 Rosebrooks Drive,Taylors Pond,1504.0,1986,3,2,1,Attached,"$145,000","$155,000",0-.25 Acres,6,0.0,1.0,"$115,707.00",No,1,0,2,2,9/13/2016,1.07,NA,Cary,NC,place
-78.776319134392,35.820811007087,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2101642/0/60/45/3f900aa6de131bcd69297ab5ee35528e/2/8ab82118f7d0aa4eb33a80fcb7611d5a/2101642.JPG,2101642,CLOSED,005/D,290 Beechtree Drive,Windchase at Beechtree,1342.0,1987,2,2,1,Attached,"$149,500","$155,500",0-.25 Acres,5,0.0,0.9505,"$142,308.00",No,1,0,15,15,2/14/2017,1.04,NA,Cary,NC,place
-78.8044667788602,35.7859401077888,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2089616/0/60/45/d1100e2b96c2ea31a25276f117f778d7/2/483daa4193af93e664e4168369aa06fe/2089616.JPG,2089616,CLOSED,005/C,315 Orchard Park Drive,Saratoga Orchard Park,1240.0,1999,2,2,1,Attached,"$155,000","$156,000",0-.25 Acres,4,32.0,0.9505,"$149,000.00",No,1,0,2,2,10/3/2016,1.01,NA,Cary,NC,place
-78.7941437625611,35.7657487353068,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2099933/0/60/45/cad6d4358da965763f827e3d550f26a4/2/54520758bed67851e7cc8a7febde4b34/2099933.JPG,2099933,CLOSED,005/B,154 Greenmont Lane,Paxton,1225.0,1986,2,2,1,Attached,"$161,000","$156,500",0-.25 Acres,5,219.0,0.9505,"$142,038.00",No,1,0,5,5,1/24/2017,0.97,NA,Cary,NC,place
-78.7713304122291,35.7939025426798,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094906/0/60/45/a3fb38754212cfb1679e6d3b7f960dcf/2/f82d5300cbbdb4396c5d763e26347943/2094906.JPG,2094906,CLOSED,005/A,528 SORRELL Street,Cary Heights,1270.0,1978,3,1,1,Detached,"$160,000","$157,000",.26-.5 Acres,6,0.0,0.95,"$148,528.00",No,1,0,13,13,1/18/2017,0.98,NA,Cary,NC,place
-78.9044698,35.8140231,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2097414/0/60/45/c3ee16306abea153c6936e8bc164bbb9/2/2fc790bdd106c35ed4c934278cb5b9df/2097414.JPG,2097414,CLOSED,010/B,828 Waterford Lake Drive,Cary Parkway,1400.0,2005,2,2,1,Condo,"$165,000","$158,000",0-.25 Acres,5,0.0,0.985,"$158,259.00",No,0,0,17,17,12/28/2016,0.96,NA,Cary,NC,highway
-78.7996831765655,35.7651673968792,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084225/0/60/45/1a2e8a8be1da368891ad1fce6c32f72a/2/bf9e246a210a02babe4d50fe91bd8f96/2084225.JPG,2084225,CLOSED,005/B,134 Riverwalk Circle,Riverwalk Townhomes,1300.0,1988,3,2,1,Attached,"$157,900","$158,500",0-.25 Acres,6,0.0,0.9505,"$136,888.00",No,1,0,7,7,9/29/2016,1.0,NA,Cary,NC,place
-78.7882133543052,35.7844391066671,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083683/0/60/45/3ef3a042c48d9f645cd5c0228cc0d5f4/2/d27860653095522de0eeb713bb8e9c69/2083683.JPG,2083683,CLOSED,005/C,322 Willow Street,Montclair,865.0,1950,2,1,0,Detached,"$159,000","$159,000",0-.25 Acres,6,0.0,0.9505,"$136,272.00",No,0,0,2,2,9/14/2016,1.0,NA,Cary,NC,place
-78.7638432383732,35.7594766919651,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2102430/0/60/45/b0d6929d2ded7d11d27efd88f1fc1170/2/4ef8fde0c52fa1d0a25742ec975bb527/2102430.JPG,2102430,CLOSED,005/G,102 Barbary Court,The Coves,1592.0,1978,3,2,1,Attached,"$160,000","$160,000",0-.25 Acres,6,0.0,0.9505,"$138,697.00",No,1,0,0,0,2/2/2017,1.0,NA,Cary,NC,place
-78.9056789,35.8131961,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2099677/0/60/45/59e7c97cd11d9d79a68ac21743c0f788/2/9ef3f101a90420dc98bc2028a0c75c0f/2099677.JPG,2099677,CLOSED,010/C,723 Portstewart Drive,Cary Park,1400.0,2007,2,2,0,Condo,"$169,900","$160,000",0-.25 Acres,5,0.0,0.95,"$145,000.00",No,0,0,49,49,1/24/2017,0.94,NA,Cary,NC,highway
-78.7880850436599,35.7844364804258,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2089594/0/60/45/fc23c02506cc733123118f3d0c781f30/2/e87aac105a1a48e036ca6f9c58d916e3/2089594.JPG,2089594,CLOSED,005/C,330 Willow Street,Montclair,802.0,1950,2,1,0,Detached,"$169,900","$161,500",0-.25 Acres,5,0.0,0.9505,"$135,125.00",No,0,0,3,3,10/18/2016,0.95,NA,Cary,NC,place
-78.7931313574744,35.7949483766636,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2103118/0/60/45/4eae02a294d1227c980f52b0669dc6af/2/1fe15ffae147aa80787eb4cb918e1338/2103118.JPG,2103118,CLOSED,005/C,211 Rosebrooks Drive,Taylors Pond,1481.0,1986,3,2,1,Attached,"$160,000","$162,000",0-.25 Acres,6,0.0,0.9845,"$124,207.00",No,1,0,5,5,1/23/2017,1.01,NA,Cary,NC,place
-78.803754,35.775843,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2101005/0/60/45/4060266a2c869e62d54eb3cbf75d4a8f/2/88221a4ab7abc71e8a8f5f5515c24162/2101005.JPG,2101005,CLOSED,005/C,200 Candace Place,Carystone,1481.0,1998,3,2,1,Attached,"$157,900","$162,500",0-.25 Acres,6,0.0,0.864,"$144,684.00",No,1,0,2,2,12/28/2016,1.03,NA,Cary,NC,place
-78.7777995,35.821076625,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2086939/0/60/45/dd3b9d39c93ebd21c2804af0fbed2f0e/2/736f9dca82b85265ce1d959a8333f762/2086939.JPG,2086939,CLOSED,005/D,338 Silverberry Court,Windchase at Beechtree,1388.0,1995,3,2,0,Attached,"$165,000","$163,500",0-.25 Acres,6,0.0,0.9505,"$150,183.00",No,1,0,19,19,10/31/2016,0.99,NA,Cary,NC,place
-78.9056789,35.8131961,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095908/0/60/45/eb95f38088d7d130394a83a7fcbe2b4c/2/32d0c269f79afa806b4bd898fad06d47/2095908.JPG,2095908,CLOSED,005/C,738 Portstewart Drive,Waterford,1424.0,2008,2,2,1,Condo,"$167,500","$167,500",0-.25 Acres,4,0.0,0.9505,"$145,587.00",No,0,0,3,3,11/18/2016,1.0,NA,Cary,NC,highway
-78.784542412154,35.7580276169957,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083661/0/60/45/707aecc25a04bbd8e918ee9b655b84f4/2/224627ab72867629f1df10acb6e244e4/2083661.JPG,2083661,CLOSED,005/B,113 Clancy Circle,Kildaire Farms,1663.0,1984,3,2,1,Detached,"$169,999","$169,000",0-.25 Acres,6,0.0,1.0188,"$182,476.00",No,1,0,61,61,12/16/2016,0.99,NA,Cary,NC,place
-78.795286560869,35.8162667646039,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2088689/0/60/45/eed69c662181772ad71a141f30b1d2d8/2/05d80ff166b08b481c89583d0f77f166/2088689.JPG,2088689,CLOSED,005/D,112 Windbyrne Drive,Windbrooke,1304.0,1988,2,2,1,Attached,"$170,000","$170,000",0-.25 Acres,5,0.0,0.9505,"$151,157.00",No,1,0,17,17,11/1/2016,1.0,NA,Cary,NC,place
-78.774937,35.77475,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2102770/0/60/45/0e4b21d8d3c8cdbbfd90ef870f733735/2/74441619d81ff5fd88da00273bebcb69/2102770.JPG,2102770,CLOSED,005/F,401 E Cornwall Road,Greenwood Forest,1421.0,1978,3,2,0,Detached,"$175,000","$170,000",.51-.75 Acres,6,0.0,0.9505,"$205,092.00",No,1,1,6,6,1/6/2017,0.97,NA,Cary,NC,place
