X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,City,State,addrtype,addrlocat
-78.8137585,35.8131846,453 Talons Rest Way,The Creeks at Weston,2009,2016,3,2,1,Attached,"$304,990","$305,000",0-.25 Acres,6,407,0.9845,$0.00,Yes,1,1,141,141,NA,Cary,NC,highway
-78.7775224799808,35.7958892083752,106 Beasley Court,Kings Wood,2190,1994,3,2,1,Detached,"$315,000","$305,000",.26-.5 Acres,8,0,0.85,"$287,858.00",No,1,2,58,58,NA,Cary,NC,place
-78.807239015485,35.8147172521339,2029 Weston Green Loop,Weston Place,2359,2010,3,4,0,Attached,"$315,000","$305,000",0-.25 Acres,7,753,0.95,"$290,054.00",No,1,2,18,18,NA,Cary,NC,place
-78.896035,35.8412762,1217 Alston Forest Drive,The Village at Evans Farm,2156,2016,3,2,1,Attached,"$305,549","$305,549",0-.25 Acres,6,0,0.9845,$0.00,Yes,1,1,1,1,NA,Cary,NC,highway
-78.896035,35.8412762,1206 Alston Forest Drive,The Village at Evans Farm,2092,2016,3,2,1,Attached,"$306,282","$306,282",0-.25 Acres,7,0,0.9845,$0.00,Yes,1,1,0,0,NA,Cary,NC,highway
-78.896035,35.8412762,1230 Alston Forest Drive,The Village at Evans Farm,2118,2016,3,2,1,Attached,"$306,480","$306,790",0-.25 Acres,7,0,0.9845,$0.00,Yes,1,1,0,0,NA,Cary,NC,highway
-78.8148044,35.812575,167 Wildfell Trail,The Creeks at Weston,1854,2016,3,2,1,Attached,"$314,990","$307,000",0-.25 Acres,6,610,0.9845,$0.00,Yes,1,2,141,141,NA,Cary,NC,highway
-78.8148044,35.812575,171 Wildfell Trail,The Creeks at Weston,1848,2016,3,2,1,Attached,"$314,990","$307,000",0-.25 Acres,6,610,0.9845,$0.00,Yes,1,2,135,135,NA,Cary,NC,highway
-78.9052465917024,35.825396,4009 Jockey Club Circle,Arlington Park at Amberly,2247,2007,4,2,1,Detached,"$314,900","$307,000",0-.25 Acres,8,0,0.9505,"$282,577.00",No,1,2,34,34,NA,Cary,NC,place
-78.7514201562806,35.7661952049091,1219 Nottingham Drive,Walnut Ridge,2044,1977,4,2,1,Detached,"$325,000","$307,500",.51-.75 Acres,7,0,0.9505,"$253,491.00",No,1,0,28,28,NA,Cary,NC,place
-78.8665024157023,35.76587645,100 Daleshire Drive,Devereaux,2258,2001,4,2,1,Detached,"$315,900","$307,500",.26-.5 Acres,7,0,0.978,"$293,692.00",No,1,2,57,57,NA,Cary,NC,building
-78.8961417,35.8405716,911 Rosepine Drive,The Village at Evans Farm,2115,2016,3,2,1,Attached,"$319,990","$307,630",0-.25 Acres,7,0,0.9845,$0.00,Yes,1,1,131,131,NA,Cary,NC,highway
-78.750538480275,35.7752439917558,1009 Askham Drive,Walnut Hills,2686,1972,4,2,1,Detached,"$312,000","$308,000",.26-.5 Acres,11,0,0.9505,"$254,806.00",No,1,1,5,5,NA,Cary,NC,place
-78.7531429373614,35.7602593915125,1212 Kingston Ridge Road,Hillsdale Forest,1943,1964,3,2,0,Detached,"$308,000","$308,000",.51-.75 Acres,9,0,0.9505,"$250,337.00",No,1,2,0,0,NA,Cary,NC,place
-78.850417,35.815058,1066 Kingston Grove Drive,Westover Park,2390,2007,3,2,1,Attached,"$309,900","$308,000",0-.25 Acres,6,0,0.95,"$270,777.00",No,0,1,10,10,NA,Cary,NC,place
-78.8963284,35.842348,4252 Vallonia Drive,The Village at Evans Farm,2151,2017,3,2,1,Attached,"$320,152","$308,821",0-.25 Acres,6,0,0.9845,$0.00,Yes,1,1,0,0,NA,Cary,NC,highway
-78.7933348213674,35.8143169005401,212 Dalmeny Drive,Springbrooke,2239,1988,4,2,1,Detached,"$309,000","$309,000",0-.25 Acres,10,0,0.9505,"$260,142.00",No,1,2,4,4,NA,Cary,NC,place
-78.7698527533679,35.769089166163,522 Elm Street,Tanglewood,2667,1967,3,2,0,Detached,"$300,000","$309,000",.26-.5 Acres,8,1118,0.9505,"$272,910.00",No,1,1,1,1,NA,Cary,NC,place
-78.7530065831486,35.7603765220166,1216 Kingston Ridge Road,Hillsdale Forest,2399,1965,4,3,0,Detached,"$309,900","$309,900",.51-.75 Acres,9,0,0.9505,"$243,041.00",No,1,2,68,68,NA,Cary,NC,place
-78.8137585,35.8131846,449 Talons Rest Way,The Creeks at Weston,2008,2016,3,2,1,Attached,"$320,799","$309,912",0-.25 Acres,6,407,0.9845,$0.00,Yes,1,1,0,0,NA,Cary,NC,highway
