X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,city,state,addrtype,addrlocat
-78.8665505,35.7654148,2310 Templeton Gap Drive,Charleston Village,2116,2003,3,2,1,Detached,"$325,000","$320,000",0-.25 Acres,8,0,0.9805,"$306,865.00",No,1,2,44,44,0.98,NA,Apex,NC,building
-78.8763141830059,35.7301394146693,1607 Royal Red Trail,Dogwood Ridge,2297,2002,4,2,1,Detached,"$315,000","$320,500",0-.25 Acres,8,0,0.9805,"$287,702.00",No,1,2,1,1,1.02,NA,Apex,NC,place
-78.84734225,35.74553425,913 Branch Line Lane,The Villages of Apex,2346,2014,3,2,2,Detached,"$309,900","$321,000",0-.25 Acres,8,1046,0.9805,"$268,348.00",No,0,2,3,3,1.04,NA,Apex,NC,place
-78.840309188666,35.732851396811,526 Mill Hopper Lane,The Villages of Apex,1842,2016,3,2,1,Detached,"$329,900","$322,000",0-.25 Acres,7,400,0.88,"$74,768.00",Yes,1,2,182,182,0.98,NA,Apex,NC,place
-78.883177941625,35.7339889761193,1306 Patterson Grove Road,Pearson Farms,2282,1997,4,2,1,Detached,"$325,000","$322,000",.26-.5 Acres,11,0,0.9625,"$278,857.00",No,1,2,1,1,0.99,NA,Apex,NC,place
-78.8820561713205,35.7599181828749,2203 Henniker Street,Walden Creek,2483,1999,4,2,1,Detached,"$339,900","$322,500",0-.25 Acres,8,0,0.9805,"$287,737.00",No,1,2,8,8,0.95,NA,Apex,NC,place
-78.8629996087177,35.7480151734922,904 Carolina Bell Road,The Orchard Villas,1733,2008,2,2,0,Condo,"$339,900","$325,000",0-.25 Acres,6,0,1.0045,"$298,229.00",No,1,2,127,127,0.96,NA,Apex,NC,place
-78.8943071516283,35.7206762737677,1890 Frissell Avenue,Crocketts Ridge,2216,2000,4,2,1,Detached,"$324,900","$325,000",0-.25 Acres,9,0,1.05,"$256,612.00",No,1,2,9,9,1,NA,Apex,NC,place
-78.8968762244898,35.7197356938776,2003 Chimney Rock Court,Crocketts Ridge,3029,2001,5,2,1,Detached,"$340,000","$325,000",0-.25 Acres,10,0,0.987,"$299,182.00",No,1,2,29,29,0.96,NA,Apex,NC,place
-78.8823859981283,35.7291353110765,302 Hickory View Lane,Scotts Mill,2007,1998,4,2,1,Detached,"$325,000","$325,500",0-.25 Acres,8,0,0.9805,"$290,139.00",No,1,2,49,49,1,NA,Apex,NC,place
-78.8317762653061,35.6909503673469,204 Straywhite Avenue,Miramonte,2599,2005,4,2,1,Detached,"$325,000","$326,000",0-.25 Acres,9,0,1.0117,"$278,244.00",No,1,2,5,5,1,NA,Apex,NC,place
-78.8849249788691,35.7316556527032,1601 Patterson Grove Road,Pearson Farms,2314,1998,4,2,1,Detached,"$315,000","$326,000",0-.25 Acres,12,0,0.9625,"$280,946.00",No,1,2,1,1,1.03,NA,Apex,NC,place
-78.8339297513543,35.7303680061318,400 Vintage Grove Lane,Surrey Meadows,2333,1995,4,3,1,Detached,"$335,000","$328,000",0-.25 Acres,7,0,0.98,"$271,870.00",No,1,2,32,32,0.98,NA,Apex,NC,place
-78.8464313,35.7454295,906 Ambergate Station,The Villages of Apex,2471,2012,4,3,1,Detached,"$325,000","$328,000",0-.25 Acres,8,0,0.9805,"$292,412.00",No,0,2,3,3,1.01,NA,Apex,NC,place
-78.88508,35.728187,701 Scotts Ridge Trail,Scotts Mill,2497,1999,4,3,1,Detached,"$329,900","$329,900",0-.25 Acres,8,0,0.988,"$281,734.00",No,1,1,69,69,1,NA,Apex,NC,place
-78.8677672622643,35.7256898531881,1413 Applethorn Drive,Whitehall Manor,2130,2004,3,2,1,Detached,"$324,900","$330,000",0-.25 Acres,9,998,0.9805,"$304,743.00",No,1,2,25,25,1.02,NA,Apex,NC,place
-78.8823902683764,35.7294339459126,416 Timber Cut Lane,Scotts Mill,1987,1999,3,2,1,Detached,"$329,000","$331,400",.26-.5 Acres,7,247,1.0045,"$286,755.00",No,1,2,1,1,1.01,NA,Apex,NC,place
-78.881207,35.727301,200 Maple Creek Court,Scotts Mill,2336,1998,3,2,1,Detached,"$339,900","$333,000",0-.25 Acres,8,0,0.9805,"$294,888.00",No,1,2,27,27,0.98,NA,Apex,NC,place
-78.8661886010537,35.7434972103867,1009 Devonhurst Court,Haddon Hall,2382,1996,4,2,1,Detached,"$328,000","$333,000",.26-.5 Acres,8,0,0.97,"$315,680.00",No,1,2,4,4,1.02,NA,Apex,NC,place
-78.882146,35.727089,312 Pine Nut Lane,Scotts Mill,2014,1999,3,2,1,Detached,"$335,900","$333,900",0-.25 Acres,8,0,1.25,"$280,049.00",No,1,1,100,100,0.99,NA,Apex,NC,place
-78.8804354958589,35.7285806766297,304 Cedar Trail Lane,Scotts Mill,2270,2001,3,2,1,Detached,"$334,900","$334,000",0-.25 Acres,8,0,1.0045,"$290,487.00",No,1,2,38,38,1,NA,Apex,NC,place
-78.883343,35.754477,2000 Aston Woods Court,Walden Woods,2964,2000,4,2,1,Detached,"$338,000","$335,000",.26-.5 Acres,10,0,0.98,"$284,675.00",No,1,2,35,35,0.99,NA,Apex,NC,place
-78.8692652483099,35.7229577922517,1106 Whiston Drive,Whitehall Manor,2159,2002,3,2,1,Detached,"$339,000","$335,000",.26-.5 Acres,10,0,0.9805,"$280,510.00",No,1,2,11,11,0.99,NA,Apex,NC,place
-78.8316198367347,35.6921976326531,207 October Glory Lane,Miramonte,2592,2005,4,2,1,Detached,"$335,000","$335,000",0-.25 Acres,9,0,0.964,"$267,055.00",No,1,2,3,3,1,NA,Apex,NC,place
-78.876848,35.731847,1461 Big Leaf Loop,Dogwood Ridge,2260,2000,3,2,1,Detached,"$335,000","$336,000",0-.25 Acres,8,0,0.9805,"$291,560.00",No,1,2,4,4,1,NA,Apex,NC,place
-78.8714083168197,35.726108853293,220 Garden Plaza Way,Green at Scotts Mill,2555,2005,5,2,1,Detached,"$339,900","$337,000",0-.25 Acres,10,26,0.9805,"$313,272.00",No,1,2,58,58,0.99,NA,Apex,NC,place
