X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,City,State,addrtype,addrlocat
-78.6296773237656,35.8072576536689,1817 Ridley Street,Hi Mount,934,1940,2,1,0,Detached,"$315,000","$327,500",0-.25 Acres,7,0,1.0188,"$247,626.00",No,1,0,3,3,1.04,NA,Raleigh,NC,place
-78.679313,35.8977864763056,2217 Durweston Court,Stonehenge,2103,1988,3,2,1,Detached,"$325,000","$328,000",.26-.5 Acres,10,0,1.0188,"$337,895.00",No,1,2,3,3,1.01,NA,Raleigh,NC,place
-78.6513309525502,35.84010055,4300 Union Street,North Hills,1663,1961,3,2,0,Detached,"$330,000","$328,000",.26-.5 Acres,7,0,1.0188,"$342,666.00",No,1,0,4,4,0.99,NA,Raleigh,NC,building
-78.7962589589178,35.8990356,10511 SABLEWOOD Drive,Brier Creek,1667,2008,2,2,0,Condo,"$360,000","$328,750",0-.25 Acres,6,0,0.098,"$360,000.00",Yes,1,1,79,57,0.91,NA,Raleigh,NC,building
-78.6457969510098,35.8405138,4305 Rowan Street,North Hills,1583,1959,3,2,0,Detached,"$329,000","$329,000",.26-.5 Acres,7,0,1.0188,"$327,670.00",No,1,0,11,11,1,NA,Raleigh,NC,building
-78.6280948069076,35.7947718976943,1228 Watauga Street,Not in a Subdivision,1252,1952,2,1,0,Detached,"$329,000","$329,000",0-.25 Acres,6,0,0.91,"$268,796.00",No,1,1,13,13,1,NA,Raleigh,NC,place
-78.6200844452262,35.8870043143718,7509 Harps Mill Road,North Ridge,2208,1969,4,2,1,Detached,"$324,800","$329,000",.26-.5 Acres,9,0,0.97,"$299,164.00",No,1,0,83,83,1.01,NA,Raleigh,NC,place
-78.7091284038917,35.7823080748556,4310 Driftwood Drive,Driftwood,1981,1962,3,2,0,Detached,"$334,310","$330,000",.51-.75 Acres,8,344,1.019,"$212,646.00",No,2,0,5,5,0.99,NA,Raleigh,NC,place
-78.6097869973045,35.8935630785824,1909 Thorpshire Drive,Thorpshire Farm,2540,1983,4,2,1,Detached,"$329,000","$330,000",.26-.5 Acres,10,110,1.0355,"$307,980.00",No,1,0,45,45,1,NA,Raleigh,NC,place
-78.6605602640679,35.9061077509379,9120 Stoney Run Drive,Stoney Manor,2196,1997,4,2,1,Detached,"$340,000","$330,000",0-.25 Acres,8,0,1.018,"$315,016.00",No,1,2,0,0,0.97,NA,Raleigh,NC,place
-78.624368241793,35.7778482045933,903 E Hargett Street,Not in a Subdivision,1560,2016,3,3,0,Detached,"$359,000","$330,000",0-.25 Acres,8,0,1.0355,"$36,000.00",Yes,0,0,214,214,0.92,NA,Raleigh,NC,place
