Pics,MLS #,Status,SubArea,Address,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Acres,# of Rooms,Total Other Area SqFt,Tax Rate,Tax Value,New Construction,Fireplace,Garage,Cumulative DOM,Days On Market,Closing Date,Sold Price/List Price,Geocode Quality,City,State
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2093984/0/60/45/9038dbb1bca97ea5457494e44f651a33/2/36baf9fb5bd945766f0c6e58f5ac515e/2093984.JPG,2093984,CLOSED,005/A,533 Burhstone Mill Drive,Glencroft Townhomes,2470.0,2016,3,3,1,Attached,"$379,990","$361,300",0-.25 Acres,8,0.0,0.95,$0.00,Yes,0,2,29,29,12/2/2016,0.95,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2066047/0/60/45/cf225e58e9e0b71e4aabfbd7a7ce58b1/2/997aa9929ab9cb3a8e70e64a7246ff28/2066047.JPG,2066047,CLOSED,005/A,529 Burhstone Mill Drive,Glencroft Townhomes,2770.0,2016,4,3,1,Attached,"$371,990","$369,654",0-.25 Acres,8,0.0,0.9845,$0.00,Yes,0,2,136,136,12/1/2016,0.99,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2064100/0/60/45/15be2c5006f0a5672c323235aaccd8be/2/f73ddf68eb16b6677b80069f99d9d394/2064100.JPG,2064100,CLOSED,005/A,531 Buhrstone Mill Drive,Glencroft Townhomes,3132.0,2016,5,4,0,Attached,"$370,990","$376,462",0-.25 Acres,10,0.0,0.9845,$0.00,Yes,0,2,25,25,11/30/2016,1.01,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2063929/0/60/45/29e943a1e3175faaa64ad3f8db8a844e/2/700204ed09bf29ee652e32e633a72ad0/2063929.JPG,2063929,CLOSED,005/A,527 Buhrstone Mill Drive,Glencroft Townhomes,3132.0,2016,5,4,0,Attached,"$383,990","$377,149",0-.25 Acres,10,0.0,0.9845,$0.00,Yes,0,2,78,78,11/30/2016,0.98,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090217/0/60/45/53daaf6af3504a8ce03120aaf2385e20/2/c3e0f52a02ea66e08166b33a0fc46057/2090217.JPG,2090217,CLOSED,010/B,136 Brassica Lane,Oaks at Sears Farm,3341.0,2016,5,4,1,Detached,"$505,670","$503,760",0-.25 Acres,10,0.0,0.984,$0.00,Yes,1,2,97,97,2/23/2017,1.0,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2075297/0/60/45/944e56ac067643caf2c5db14f11c8812/2/41fb78ac8de481ba51f23d4d7a292b25/2075297.JPG,2075297,CLOSED,010/B,340 Gartrell Way,The Pines at Wake Crossing,2562.0,2016,3,2,1,Detached,"$529,127","$529,777",0-.25 Acres,6,0.0,1.0045,$0.00,Yes,0,2,0,0,2/2/2017,1.0,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2044229/0/60/45/7c452fefb85b0b97204823466ea16c9a/2/ba8e22dcfb289e31a0b466755cda59e2/2044229.JPG,2044229,CLOSED,005/C,328 Lady Marian Court,Sherwood,4349.0,2016,4,4,1,Detached,"$725,000","$778,629",.51-.75 Acres,10,0.0,0.98,"$120,000.00",Yes,1,3,5,5,8/31/2016,1.07,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2048834/0/60/45/75062fe5e49a5b598435e0c7c356d84f/2/ff3ed0911041ec86313b3c670d3e5b32/2048834.JPG,2048834,CLOSED,005/C,329 Lady Marian Court,Sherwood,4613.0,2016,4,4,1,Detached,"$664,900","$812,118",.26-.5 Acres,11,0.0,0.98,"$120,000.00",Yes,1,3,2,2,1/3/2017,1.22,NA,Cary,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2036498/0/60/45/d977380c696d379bbeb269318dfacdb9/2/2f7841fc41bb3d697415b7b5dbe9740a/2036498.JPG,2036498,CLOSED,305/E,4048 Wilton Woods Place,Dunhill,3886.0,2015,4,4,1,Detached,"$817,000","$843,295",.51-.75 Acres,11,2036.0,0.9919,$0.00,Yes,2,2,39,39,9/16/2016,1.03,NA,Cary,NC
