X,Y,,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.903328,35.728287,184,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2097462/0/60/45/0c5dddbea7b417f933b0a301104de35c/2/eed2719a2a60d0fc53ce8b1e802293b9/2097462.JPG,2097462,CLOSED,015/B,302 Kelly West Drive,Kelly West,1802,2002,4,2,1,Detached,"$272,000","$276,500",0-.25 Acres,8,0,0.9805,"$235,535.00",No,1,2,2,2,12/15/2016,1.02,NA,Apex,NC,street_address
-78.909926,35.728019,185,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2102479/0/60/45/865881d082fc706edcdbb8302e185145/2/dd89c27e169710e82a1922fa111b5d08/2102479.JPG,2102479,CLOSED,015/B,103 Alice Court,Hollands Crossing,1810,1997,3,2,0,Detached,"$275,000","$277,000",0-.25 Acres,9,0,0.9625,"$233,261.00",No,1,2,3,3,1/24/2017,1.01,NA,Apex,NC,street_address
-78.908236,35.734364,186,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2075090/0/60/45/8d3aa65ec30b0c47f33051c73dfd5e7c/2/e3df9d08ecc58a6e555576eff75e00f0/2075090.JPG,2075090,CLOSED,015/B,4028 Winecott Drive,Woodridge,1946,1999,4,2,1,Detached,"$287,500","$277,000",0-.25 Acres,8,108,0.94,"$268,756.00",No,1,2,98,98,12/13/2016,0.96,NA,Apex,NC,street_address
-78.893483,35.729031,187,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2075136/0/60/45/4d6f426250d86ed8a87f610cfa39d562/2/1284941b6ceab825bd491d1b00df8d91/2075136.JPG,2075136,CLOSED,015/B,1703 KELLY GLEN Drive,Kelly Glen,1885,1996,3,2,0,Detached,"$284,900","$278,000",.26-.5 Acres,8,190,0.00957,"$228,689.00",No,1,2,2,2,8/4/2016,0.98,NA,Apex,NC,street_address
-78.8726,35.726096,188,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084303/0/60/45/ba5a75c88fb00322838e3b59312f7715/2/53616dc84cf317573280605d8b292bc8/2084303.JPG,2084303,CLOSED,015/B,102 Homegate Circle,Green at Scotts Mill,1677,2004,3,2,1,Detached,"$278,000","$278,000",0-.25 Acres,6,0,0.968,"$247,070.00",No,0,2,18,18,9/19/2016,1,NA,Apex,NC,street_address
-78.849054,35.739602,189,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2081270/0/60/45/f3e037d9d924aab0be3b76408d5f3a81/2/013e3e89374d73ff285989fe454c6dd6/2081270.JPG,2081270,CLOSED,015/C,107 Tracey Creek Court,Salem Oaks,2029,1998,4,2,1,Detached,"$285,000","$278,000",0-.25 Acres,8,0,0.9805,"$240,944.00",No,1,1,34,34,10/21/2016,0.98,NA,Apex,NC,street_address
-78.888504,35.727243,190,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2079319/0/60/45/c62f4fb3f24b7ab029961d434df8f0f4/2/88a5599776f222fd1af375b71b12a9d0/2079319.JPG,2079319,CLOSED,015/B,110 Country Valley Court,Scotts Mill,1850,2002,3,2,1,Detached,"$279,900","$279,900",.26-.5 Acres,8,0,0.98,"$213,906.00",No,1,1,0,0,8/17/2016,1,NA,Apex,NC,street_address
-78.86566,35.760449,191,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094155/0/60/45/f2226748c2a5a0f1ae5315f10e175878/2/f28bd97b9e425b7cb86a853485ad853b/2094155.JPG,2094155,CLOSED,010/A,2451 Castleburg Drive,Charleston Village,1971,1998,4,2,1,Detached,"$279,900","$279,900",0-.25 Acres,8,0,1.004,"$247,759.00",No,1,2,5,5,12/20/2016,1,NA,Apex,NC,street_address
-78.832049,35.734019,192,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2069391/0/60/45/530e5cf6bcbf54a10e3b903466a812f6/2/dc477f34bb5171d3639ce6716b625ade/2069391.JPG,2069391,CLOSED,015/C,1005 E St Helena Place,Vintage Grove,1757,1994,3,2,1,Detached,"$265,000","$280,000",0-.25 Acres,6,0,0.96,"$249,319.00",No,1,2,2,2,6/29/2016,1.06,NA,Apex,NC,street_address
-78.90895,35.730879,193,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2069402/0/60/45/35b5a9bd0c12ee2fb55a6926ab0d91ee/2/2b286c40932182051b5d6642aeb92262/2069402.JPG,2069402,CLOSED,015/B,1004 Starita Court,Woodridge,2144,1998,3,2,1,Detached,"$285,700","$280,000",.26-.5 Acres,9,0,1.0045,"$268,389.00",No,1,2,161,161,1/3/2017,0.98,NA,Apex,NC,street_address
