Pics,MLS #,Status,SubArea,Address,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Acres,# of Rooms,Total Other Area SqFt,Tax Rate,Tax Value,New Construction,Fireplace,Garage,Cumulative DOM,Days On Market,Closing Date,Sold Price/List Price,Geocode Quality,City,State
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100588/0/60/45/3198e6ff086c06a1ab91e2dbae367769/2/fc356e74faacb6cb5bdfaa42f79652eb/2100588.JPG,2100588,CLOSED,009/B,205 Hollyhock Lane,Sunset Hills,1261.0,1998,3,2,0,Detached,"$185,500","$186,000",0-.25 Acres,6,0.0,0.09805,"$174,883.00",No,1,2,11,11,1/24/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2098303/0/60/45/359e7e879d98fb41432df6ae5d4f4019/2/73fcf139bd31fb3733a1346b6963885c/2098303.JPG,2098303,CLOSED,015/C,202 Hampstead Heath Lane,Haddon Hall,1655.0,1997,3,2,1,Attached,"$195,000","$187,000",0-.25 Acres,6,0.0,0.9805,"$161,747.00",No,1,0,5,5,12/19/2016,0.96,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2102855/0/60/45/e5ffb86a5f22ef5d259f4cb09cc0868b/2/f95c89bd8a6e01dc865fb3d173da72f8/2102855.JPG,2102855,CLOSED,009/H,4909 Birkenhead Court,Amherst,1434.0,1995,3,2,1,Detached,"$195,000","$187,500",0-.25 Acres,7,0.0,0.695,"$173,898.00",No,1,0,4,4,2/13/2017,0.96,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084470/0/60/45/b714cbeecd80ac06898c0b8d20f037ab/2/5714bc60c9dba42e888a6d5c34d63bb5/2084470.JPG,2084470,CLOSED,009/B,721 Wickham Ridge,Pemberley,1417.0,2013,2,2,1,Attached,"$189,000","$189,000",0-.25 Acres,5,0.0,1.0045,"$166,668.00",No,0,0,17,17,11/15/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100638/0/60/45/2335d915695cecfa53a34c00f03d4d0e/2/811c0415067e6a0248b1b2d9d11b524c/2100638.JPG,2100638,CLOSED,009/B,202 Cabana Drive,Sunset Hills,1502.0,2000,4,2,0,Detached,"$189,900","$189,900",0-.25 Acres,6,0.0,0.98,"$184,737.00",No,1,1,19,19,1/30/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094331/0/60/45/b3e46bdec346a3d8e96a0ace77ab70f3/2/8b1ab2d9c3941488bbb4f38c6adb596f/2094331.JPG,2094331,CLOSED,015/C,309 Center Park Way,Center Parkway,1165.0,1995,3,2,0,Detached,"$185,000","$190,000",0-.25 Acres,5,0.0,1.05,"$158,270.00",No,1,0,3,3,11/14/2016,1.03,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2104275/0/60/45/0b0755fffd5cc395e3a5bcebdd990cf9/2/61a2221ea483a683737c785e4d062dbb/2104275.JPG,2104275,CLOSED,009/B,748 Wickham Ridge,Pemberley,1484.0,2012,2,2,1,Attached,"$189,900","$190,000",0-.25 Acres,5,0.0,0.9805,"$168,023.00",No,0,0,1,1,2/24/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2077672/0/60/45/a80f565e39ce9931c258b44a8d8e1c11/2/edcb66b7e2deb61cc4d5ccc20cbc97ad/2077672.JPG,2077672,CLOSED,015/B,412 Second Street,Not in a Subdivision,1520.0,1961,3,1,1,Detached,"$190,000","$190,000",0-.25 Acres,11,680.0,1.0045,"$95,701.00",No,1,0,55,55,11/30/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2097817/0/60/45/dc3807fc65ebac9367542dd11ca4e083/2/dbfade2c0f2941e37c2620d9beebce81/2097817.JPG,2097817,CLOSED,015/B,1818 KELLY GLEN Drive,Kelly Glen,1336.0,1997,3,2,1,Detached,"$191,500","$191,000",.26-.5 Acres,6,0.0,1.004,"$171,082.00",No,1,0,0,0,12/22/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2097552/0/60/45/fb16eca48a5f5d90f7cea4b29326b6f5/2/7bfa89ae8d45570fec11c2f657caf48a/2097552.JPG,2097552,CLOSED,015/B,608 Knightsborough Way,Haddon Hall,1702.0,1999,3,3,0,Attached,"$192,000","$192,500",0-.25 Acres,7,0.0,0.9805,"$168,080.00",No,1,0,1,1,1/10/2017,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2071150/0/60/45/e758a74778bf43527e37532f3196e149/2/15cb8f42883b1ce90d70264c324829e8/2071150.JPG,2071150,CLOSED,015/B,943 Homestead Park Drive,Homestead Park,1430.0,1999,3,2,0,Detached,"$199,900","$193,500",0-.25 Acres,7,0.0,1.0045,"$187,642.00",No,1,1,6,6,9/6/2016,0.97,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2078934/0/60/45/15365e2aac4ed6ec8d89be23eb486d3b/2/078f7ac2d7b8dad8901ad6d7accdb4c7/2078934.JPG,2078934,CLOSED,015/C,102 Briarcliff Street,Clairmont,1148.0,1984,3,2,0,Detached,"$200,000","$193,500",0-.25 Acres,8,0.0,0.968,"$169,848.00",No,1,0,10,10,9/1/2016,0.97,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2103441/0/60/45/f68657a2e28251af271ae808770b59ea/2/efc1e03a8c7d05917cc65831a6f0a5d1/2103441.JPG,2103441,CLOSED,015/A,102 Milky Way Drive,Sugarland Run,1568.0,1997,3,2,1,Detached,"$205,000","$194,750",0-.25 Acres,6,0.0,0.9805,"$172,629.00",No,1,0,10,10,2/15/2017,0.95,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2093589/0/60/45/acc141d4f22c73e0f1aece6a0e619626/2/4e50f496c3389a069213f51e128ffd24/2093589.JPG,2093589,CLOSED,015/C,802 Nottinghill Walk,Golders Green,1647.0,1999,3,2,1,Attached,"$199,900","$196,000",0-.25 Acres,6,0.0,1.021,"$169,689.00",No,1,1,2,2,11/7/2016,0.98,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096078/0/60/45/5d7669acadd0ae5b4f6c8b5d0ec30946/2/f2d61fa1d612de4112829e550ef0f5c4/2096078.JPG,2096078,CLOSED,009/B,118 Cabana Drive,Sunset Hills,1403.0,2000,3,2,1,Detached,"$196,450","$196,000",0-.25 Acres,6,0.0,1.0,"$185,545.00",No,1,2,10,10,12/16/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2085368/0/60/45/8759a487516a53bc65df4f5aa4565a81/2/a67697080c5cc0ef11fb22886c2bafba/2085368.JPG,2085368,CLOSED,015/B,3029 White Cloud Circle,Dogwood Ridge,1649.0,1999,3,2,1,Attached,"$196,500","$196,500",0-.25 Acres,5,0.0,0.9505,"$158,566.00",No,0,0,2,2,9/22/2016,1.0,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2080956/0/60/45/fa301ed23824a66e7fde628cc1baa451/2/3bd1562e810675be06afe87c7940367a/2080956.JPG,2080956,CLOSED,009/H,2636 Thurrock Drive,Amherst,1275.0,1992,3,2,0,Detached,"$200,000","$197,500",0-.25 Acres,6,0.0,0.695,"$174,260.00",No,1,2,2,2,9/23/2016,0.99,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2084474/0/60/45/956058265909c4adbed3c80c155d3a75/2/06c32e620c967927421087e49a00c42a/2084474.JPG,2084474,CLOSED,010/A,3952 W US 64 Highway,Not in a Subdivision,1456.0,1993,3,2,0,Manufactured,"$220,000","$200,000",1-2.9 Acres,6,0.0,0.5,"$184,914.00",No,1,0,36,36,1/24/2017,0.91,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2075126/0/60/45/6c14ad01d0aadaccee6b662da34b8e99/2/cdbda733fd0bfa958aad1e5205f4feef/2075126.JPG,2075126,CLOSED,015/B,1914 KELLY GLEN Drive,Kelly Glen,1363.0,1997,3,2,0,Detached,"$205,000","$200,000",.26-.5 Acres,7,0.0,1.0045,"$190,771.00",No,1,2,33,33,9/2/2016,0.98,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094273/0/60/45/ade2653daac026069cef16ea66935d12/2/667214841726371704de4ce94396561b/2094273.JPG,2094273,CLOSED,015/A,305 EVENING STAR Drive,Homestead Park,1472.0,1998,3,2,1,Detached,"$207,000","$200,000",0-.25 Acres,7,0.0,0.99,"$182,226.00",No,1,1,47,47,12/30/2016,0.97,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083646/0/60/45/52fa534b3fc293be2c594582065e52ff/2/24c4eba59e5cb024b5e2d5567f449d1f/2083646.JPG,2083646,CLOSED,015/A,1105 Lexington Farm Road,Lexington,2258.0,1995,4,2,0,Detached,"$199,000","$200,000",.26-.5 Acres,9,1051.0,0.97,"$198,565.00",No,1,2,10,10,10/17/2016,1.01,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2078989/0/60/45/77355e85735bed95e981ecbf1e9db907/2/51a7ba9678a5aadfa2d759c4a375d096/2078989.JPG,2078989,CLOSED,009/I,8016 Bells Lake Road,Oxford Greene,1505.0,1983,3,2,0,Detached,"$199,000","$200,000",.76-.99 Acres,6,0.0,0.6965,"$180,142.00",No,1,0,2,2,9/16/2016,1.01,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2092384/0/60/45/7b023c7da85d82ee9b8506aff9190be7/2/c9fc33478dcbdedfc53dd543c513f903/2092384.JPG,2092384,CLOSED,015/B,904 Homestead Park,Homestead Park,1370.0,1999,3,2,1,Detached,"$202,500","$200,000",0-.25 Acres,6,0.0,0.99,"$176,602.00",No,0,1,30,30,11/18/2016,0.99,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2081525/0/60/45/e21e431b3d4508cb90ef88ad30c84b57/2/b2a30ef339e31aa20d5ec00c0f487a3f/2081525.JPG,2081525,CLOSED,015/A,409 S Hughes Street,Not in a Subdivision,1616.0,1957,3,2,0,Detached,"$210,000","$200,000",.26-.5 Acres,8,384.0,1.045,"$214,863.00",No,1,0,57,57,11/8/2016,0.95,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2091926/0/60/45/9f68a181b4ed61ade5dc2266374743c3/2/51f60930592f6251eb67f57e72b9b089/2091926.JPG,2091926,CLOSED,015/B,1126 Silky Dogwood Trail,Dogwood Ridge,1574.0,2000,3,2,1,Attached,"$204,900","$201,500",0-.25 Acres,7,0.0,0.9805,"$181,323.00",No,1,1,2,2,11/1/2016,0.98,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2099966/0/60/45/521fc27971cd2b8a17d94d25e4429d74/2/fb79863b8a5cf3eb2d9dad68eb2aa89f/2099966.JPG,2099966,CLOSED,015/C,304 Center Park Way,Center Parkway,1231.0,1995,3,2,0,Detached,"$195,000","$202,000",0-.25 Acres,6,240.0,0.985,"$162,451.00",No,1,1,4,4,1/4/2017,1.04,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095423/0/60/45/d3946f95ce78b63e5d98d6a7d9ca9e54/2/9735a10a6ce85bf9972529cc77565ebc/2095423.JPG,2095423,CLOSED,009/B,208 Cabana Drive,Sunset Hills,1450.0,2002,4,2,0,Detached,"$204,900","$202,000",0-.25 Acres,6,0.0,0.9805,"$180,731.00",No,1,1,17,17,12/16/2016,0.99,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082635/0/60/45/31609bc5a4b2b6347b3b553f86d167b5/2/7e702268c22e1efa3fa6cb152a831c42/2082635.JPG,2082635,CLOSED,015/B,825 Homestead Park Drive,Homestead Park,1358.0,1999,3,2,1,Detached,"$203,700","$202,000",0-.25 Acres,9,0.0,1.0045,"$172,549.00",No,0,1,4,4,9/13/2016,0.99,NA,Apex,NC
http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2088539/0/60/45/0feca840707520ee43bc62cf55ed3eba/2/e966a8df1360e2271a7d32dc7ecbfe9e/2088539.JPG,2088539,CLOSED,009/H,4812 Basildon Court,Amherst,1467.0,2000,3,2,0,Detached,"$200,000","$202,500",0-.25 Acres,6,0.0,0.61,"$185,765.00",No,1,0,2,2,10/31/2016,1.01,NA,Apex,NC
