X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,city,state,addrtype,addrlocat
-78.8819137035519,35.7280423140022,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096616/0/60/45/e84c121d5bb64e461da436029dcd9250/2/a294431010ef4198a35f8999076df4ec/2096616.JPG,2096616,CLOSED,015/B,505 Scotts Ridge Trail,Scotts Mill,1293.0,2000,3,2,0,Detached,"$230,000","$215,000",0-.25 Acres,6,0.0,0.9805,"$223,031.00",No,1,1,35,35,12/30/2016,0.93,NA,Apex,NC,place
-78.8337670670145,35.7435972413721,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090096/0/60/45/2f1951a74cbbad976032799a3efb7717/2/a27de1fda78761d82e2ed65d5bbd7028/2090096.JPG,2090096,CLOSED,015/C,1526 Cone Avenue,Knollwood,2027.0,1973,4,2,1,Detached,"$215,000","$215,000",0-.25 Acres,7,0.0,0.968,"$174,077.00",No,0,0,7,7,10/21/2016,1.0,NA,Apex,NC,place
-78.8382083607985,35.7413844485493,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2076969/0/60/45/adf8a23ddf6ee620336da12805c79dc3/2/395ab53087e612e5f7f96c23e296df25/2076969.JPG,2076969,CLOSED,015/C,1204 Laura Duncan Road,Indian Trail,1766.0,1973,4,2,1,Detached,"$214,900","$215,000",.26-.5 Acres,8,387.0,1.0045,"$203,217.00",No,1,0,20,20,9/13/2016,1.0,NA,Apex,NC,place
-78.8270501666667,35.6885989375,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2087341/0/60/45/dce59071b4dfe3a34a0181d8c9f57db7/2/06cb44ee454d40e1417de163c97dc0a8/2087341.JPG,2087341,CLOSED,009/B,217 Storemont Way,Miramonte,2005.0,2007,3,3,1,Attached,"$210,000","$215,500",0-.25 Acres,6,0.0,0.9805,"$171,261.00",No,1,1,1,1,10/12/2016,1.03,NA,Apex,NC,place
-78.8361840898004,35.7444536816334,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2095478/0/60/45/8af303eb26293bc12848ebcd1016b2a0/2/16b5fdba9cf85c961752e111b9da98c6/2095478.JPG,2095478,CLOSED,015/C,808 Knollwood Drive,Knollwood,1786.0,1971,4,2,0,Detached,"$215,000","$216,000",.26-.5 Acres,8,0.0,0.991,"$183,349.00",No,0,0,5,5,11/21/2016,1.0,NA,Apex,NC,place
-78.8279279993005,35.7437910264446,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094184/0/60/45/41c2d46aca654cd8fc1ad6085f147cb1/2/d43dbf1203f32c19a4ef05adea9fe0ec/2094184.JPG,2094184,CLOSED,015/C,1404 Maple Avenue,Knollwood,1842.0,1968,4,2,0,Detached,"$220,000","$220,000",.26-.5 Acres,10,0.0,0.9625,"$207,239.00",No,1,1,1,1,11/28/2016,1.0,NA,Apex,NC,place
-78.9002904240255,35.7291254463476,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2076092/0/60/45/d6b905188ea047afe4b2a6aef7933de3/2/b758420b84aa2608ed26d3241ba17d63/2076092.JPG,2076092,CLOSED,015/B,405 Brierridge Drive,Greenbrier,1430.0,1999,3,2,0,Detached,"$229,000","$220,000",0-.25 Acres,6,0.0,1.0045,"$197,517.00",No,1,2,32,32,9/9/2016,0.96,NA,Apex,NC,place
-78.8409486405265,35.7429290305278,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083119/0/60/45/5e16b9fc69eb2cae45b9aa9b7e85bea1/2/a87bbd41c3ad73aad0e6f62f5fc482de/2083119.JPG,2083119,CLOSED,015/C,1002 Fallen Oak Drive,Brookfield,1484.0,1985,3,2,1,Detached,"$218,000","$220,000",0-.25 Acres,11,0.0,0.9805,"$214,920.00",No,1,0,1,1,9/9/2016,1.01,NA,Apex,NC,place
-78.8670196167419,35.7413068199658,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2083577/0/60/45/efe7e7521f485f0057bfb3ce97ff9f49/2/91a12bb9977bb40601059d51516c59df/2083577.JPG,2083577,CLOSED,015/C,127 Wirks Worth Circle,Haddon Hall,1970.0,2009,3,2,2,Attached,"$217,500","$220,000",0-.25 Acres,9,0.0,0.9805,"$187,563.00",No,0,1,1,1,9/9/2016,1.01,NA,Apex,NC,place
-78.8655530561796,35.7353122602092,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096624/0/60/45/063e8519391a0a14bdab4643f1a20883/2/a5b4762bb80dcc4eebfc3cae39308d57/2096624.JPG,2096624,CLOSED,015/B,905 Spring Gate Court,Glen Arbor,1571.0,2003,3,2,1,Detached,"$214,900","$220,000",0-.25 Acres,6,0.0,1.0045,"$183,787.00",No,1,1,4,4,11/28/2016,1.02,NA,Apex,NC,place
